schemaorg|range|description|comment|codemeta
nav|URL|link to installation instructions/documentation|v2, v3|buildInstructions
nav|URL|link to continuous integration service|v2|contIntegration
nav|URL|link to continuous integration service|v3|continuousIntegration
nav|Date|Software may be embargoed from public access until a specified date (e.g. pending publication, 1 year from publication)|v2|embargoDate
nav|Date|Software may be embargoed from public access until a specified date (e.g. pending publication, 1 year from publication)|v3|embargoEndDate
nav|SoftwareSourceCode|Link that states where the software code is for a given software. For example a software registry may indicate that one of its software entries hasSourceCode in a GitHub repository.|v3|hasSourceCode
nav|SoftwareApplication|Link that states where software application is built from a given source code. This is the reverse property of 'hasSourceCode'.|v3|isSourceCodeOf
nav|URL|link to software bug reporting or issue tracking system|v2, v3|issueTracker
nav|URL|link to software Readme file|v2, v3|readme
nav|SoftwareSourceCode|Optional dependencies , e.g. for optional features, code development, etc.|v2, v3|softwareSuggestions
