property,value
context,Ogham Stones in the Wild and in Museums in Ireland bearing Ogham inscriptions.
created,2024-06-05
description,good
description,make 3d model available
description,low
description,Ogham Stone CO074-148---- located in the UCC Stone Corridor
funding,Community Project
hasVersion,1.0
issued,2024-06-05
license,https://spdx.org/licenses/CC-BY-NC-SA-4.0.html
modified,2026-02-21
title,CO074-148----
type,http://www.wikidata.org/entity/Q2016147
